Reviewer_Score,Review
1,window floor made noise night windy weather brand new hotel good price good location minute center tram night catch night bus minute walk lelylaan station catch train schiphol airport schiphol also could find train straight lelylaan find restaurant area chinese lebanese australian dutch breakfast hotel cost euro per person room big clean modern equipped well safety box nespresso machine tv comfortable bed iron iron desk comfortable chair slipper etc bathroom quite big good shower cabin elevator fast self service check check staff help 
1,great staff beautiful hotel around corner harrod 
1,excellent welcome arrival staff warm helpful could made trip better 
1,street noisy saturday night interferes sleeping bed mattress used make little le comfort location staff nice helpful value money 
1,elevator little small especially brought larger piece luggage excellent location fantastic service comfortable room luxurious feature 
0,room little bit small location good easy reach everywhere city public transportation walking distance provide coffee tea snack fruit lobby nice 
1,comfortable bed good part town eixemple near great restaurant convenient metro neighborhood excellent stay 
1,clean cozy comfortable helpfull staff good breakfast bed four people 
1,location close city center 
1,location ideal friend staying close bit quite little far public transportation room really nice bed comfortable 
1,really loud banging noise sounded like someone knocking really loudly door think may pipe room told someone reception next day although nice offer compensation solution loved bed dreamy 
1,weather warmed room hot think air con refurbished old building seemed recently refurbished clean bright picture wall comfy bed quiet room back hotel accommodation pub lift good breakfast 
1,nothing quality food excellent room service also excellent 
1,reception staff helpful first girl directed u second closest tram stop also ask validate parking checkout minor thing traveling alone small child every extra step take outside cold much difficult feel like price point breakfast included especially since breakfast restaurant within walking distance wwas bar food available night inconvenient since one restaurant waking distance parking lot free also small full afraid leave lot risk able find another spot room modern clean well appointed stayed december found room warm climate control way use bed comfy shower amazing quick easy tram ride city center appreciated free site parking 
1,lot staff around question hotel area location free wifi bed comfy 
0,poor service breakfast could meet demand e cutlery food etc extra sofa bed pillow hard uncomfortable although near transport warned ligh sleeper tram noise may keep awake large room compared hotel paris modern clean cheap breakfast food good 
1,staff inform allocating non handicap customer handicap room location incredible real plus staff member friendly room confortable clean breakfast worth buying 
1,breakfast good staff friendly clean room 
0,bed comfortable location building rooftop also patio room awesome 
0,clean old furniture nice staff grate location 
1,bathroom room extremely small especially shower location nice near busy pedestrian street many shop need min foot reach city center breakfast could little bit better everybody helpful polite room clean quite 
1,price breakfast could bit cheaper excellent location clean spotless room bed comfortable wifi strong fast quiet amenity modern front desk concierge extremely helpful every way helped arrange taxi service made restaurant area recommendation location also ideal roissy bus airport minute walk hotel opera l open tour hop hop tour bus minute walk gallerie lafayette also minute walk street lot restaurant across street 
0,doubt excellent location frill simple accommodation 
1,poorly designed jun suite bed faced bathroom chair un comfortable room made saturday 
1,nothing perfect staff helpful room quiet bed comfortable location close metro duomo breakfast varied delicious 
1,hotel good location centre stayed one night could happily stayed longer great hotel price need spend excess somewhere sleep would use 
1,located inside shoping mall near train station 
0,excellent location great place want go shopping food 
0,room old tired furniture falling apart carpet dirty view top floor 
1,nothing staff wonderful birthday day arrival got room made birthday cake en suite fabulous bed one comfiest ever breakfast fantastic partner left glass behind sending u charge wait find reason go back vienna stay 
1,great vending machine bit pricey though 
0,landed vienna airport quite late arrived hotel girl reception said thought parking space left garage went back car try find place outside hotel could find one went back hotel another person reception went trouble check garage turned plenty space garage stuff reception could helpful hotel clean comfortable family room large well organized 
1,loved everything hotel room amazing restaurant dinner bar 
1,enough shower product property comfortable 
0,room small stuff helpful continental breakfast cheap 
1,hotel clean staff helpful 
1,layout room 
0,put u adjoining room next door came could hear everything going fun police want listen booking make sure room adjoining door otherwise may get sleep lovely fresh breakfast 
0,poor cleaning location 
1,room small 
1,good great location excellent hotel awesome breakfast helpful staff 
1,clean room good wifi good location direct tram line city 
1,hotel design excellent staff amazing location perfect 
1,room small expected london staff extremely helpful location great breakfast delicious 
1,free wifi useless keep refreshing page without success clean room friendly staff 
1,perfect one night stop great location within stumbling distance many option eat drink evening staff helpful hotel anticipated 
1,lift busy staff friendly especially kid 
0,really located short notice really poor communication change cut stay time also promised call back manager avail shall warning friend family avoid stay good one due poor communication hotel change location 
1,room although nicely decorated serviced little tight friendly helpful staff appreciated extra thing example afternoon tea freely available 
1,checking pleasant receptionist patronising rude explaining bill paid check unaware already completed booked online explanation entire demeanour could done lot improvement hotel lovely central location power shower well appreciated well 
0,last minute booking quite expensive due expo 
0,arrived early room ready told would ready problem went back room ready would hour changed room disabled one got room half eaten chocolate left fridge next day room made given complementary drink wanted thing right paid cheep good location 
1,design unbelievably good could design house would thank people travelled amsterdam made choose hotel since hotel centre completely booked possible find everything need room 
1,distance paddington station nice room london excellent air conditioning good position 
0,cold poor heating room basement location next train station made convenient walk 
1,nothing hotel staff amazing attentive friendly greated warm flannel glass fresh juice registered knowing special occasion prepared room rose petal scattered across bed complimentary bottle wine plate strawberry dipped chocolate also handwritten card welcoming u bed comfortable room clean reasonably quiet hopefully return many special memory stay hotel five minute foot padington underground station would also highly recommended flavour india minute walk away look like much food stunning also eat breakfast farmacy minute hotel celebrity watch delightful dairy free meal 
0,room quite small 
1,excellent dinner service perfect vvv comfortable bed 
1,noisy neighbor champagne reception 
1,day breakfast room service incorrect early staff helpful friendly 
1,honestly remember something caught attention staff simply excellent always willing go extra mile make one stay comfortable possible third stay certainly go back 
0,small bed pushed together instead one double bed uncomfortable bathroom nice 
0,room overlooked glass lift decor nice 
1,n shower bedroom facility 
1,every thing great hotel excellent service unbelievable fun room always stayed triest guesthouse 
1,quite poor wi fi connection often disconnected without reason device per room able connect helpful nice staff reception also restaurant breakfast great wide range food fruit yogurt bread bacon ham cheese etc 
0,would recommend stay hotel dinner restaurant inside hotel restaurant meal priced food quality le average arrived restaurant around pm restaurant close pm last order pm according front staff staff quality restaurant really poor forgot ask cook steak ask sauce bring worst experience restaurant ever gone sausage cooked properly half rare spring roll tiny oily priced reception staff speak good english basically difficulty understand customer want simply asked need early breakfast earlier breakfast serving time give clear answer need wait talk male leader male manager arrive manager polite anyway car park small needed park road dark feel safe park car never go restaurant nothing 
0,bed sheet stain good start room small side struggle walk around two suitcase bathroom also tiny location really great staff great 
0,room small cold expensive great location 
1,hotel staff happy bed perfect breakfast good 
1,slight disappointment breakfast little choice one wait minute coffee served location decoration room upgraded helpful kind staff especially concierge 
1,breakfast definately continental bit small food lovely free coffee reception nice touch also 
1,would asked better view birthday celebration room lovely staff incredibly friendly told celebrating birthday recieved complimentary cake kind 
0,room slightly dated opinion slightly priced heating control sellotaped shower tray painted paint flaking location great took day got know area realised happy location 
1,fine nice breakfast great location 
1,room bit small coffee available service staff door man helpful 
0,exspensiv get small room location good region renovatins 
0,bathroom old grubby need replacement view window brick wall immediately front stayed several star central barcelona better staff helpful friendly 
0,heating work room freezing giving u horrible night sleep given small heater room big warm room politeness staff great 
0,room small tv stand sticking desk carpet smelly room serviced late afternoon excellent location 
0,room location 
0,horrible view room quite small failed acknowledge special request wishing partner happy birthday also could really like paying deposit booking get money back check liked location hotel quite clean nice little bar basic nothing special stick great walking distance viewing wicked billy elliott musical 
1,excellent location clean helpful staff good value money 
0,defenitely noy hotel 
0,get discounted star room rather get cheap room star hotel wifi appalling slow expensive strong enough make voip call handle one device location common facility pleasant 
0,every thing good menu 
1,like leaving location hotel good minute walk earl court staff helpful room clean comfy got grade bed massive 
1,everything except price 
1,loved fact staff spoke even italian english big help stay 
1,booked triple room room quiet large balcony location really nice near paddinton station minute walk hyde park staff friendly try meet need order two room service food really delicious breakfast also nice definitely choose hotel go london next time 
0,configuration room shower directly next bed lighting dark could turn plus seperate button toilet like dog box concierge plus one open door entrance hotel lacked star hotel feel bed comfy 
1,wi fi work bed large comfy 
1,extra room like cotton bud de makeup pad view upper floor astonishing one side city ocean modern minimal design 
1,water pump toilet yet managed bit priced nothing wrong said hotel heart soho amazing location wonderful luxury room staff helpful friendly would definitely go back 
1,na friendly genuine staff 
0,air conditioning system low water pressure nothing 
1,abusive video running corridor television menu hotel restaurant could wider choice wonderful quiet location still perfectly situated loved overall feel hotel look 
1,elevetor 
0,breakfast good staff barely speaking english tv work location 
1,impression breakfast included later saw added bill make quite expensive lot choice available 
1,location staff fantastic also breakfast unexpected excellent 
0,window room could opened warm stuffy throughout night although little fan room lessen suffering somewhat walk room far cannot imagine using hotel older next couple year leg knee weaken age help went access card room work twice sensitive could placed near mobile phone went reunion chogwell school location good occasion staff reasonable helpful courteous 
1,carpet old needed tlc great staff helpful 
1,staff hotel fantastic found room location perfect stay london 
1,sky lounge th floor 
1,made hot tea thwre would film cup top water cleaned cup would return lead believe hot water brooer cleared time also drinking cup bathroom stained bottom brown hesitant use next day spon used tea replaced clean one loved staff room perfect location amazing ask wonderful place stay vacation thank much 
0,poor infrastructure noisy poor breakfast good location 
0,room far hot air con work window opened rare london still hot room corridor outside room part corridor floor laminated tile carpeted lady heel clumping pas night meant sleep much people voice carried corridor shame liked hotel staff room layout though bathroom would fit someone bigger size door sink wish managed get decent sleep reported staff next day apologise tip check room carpet outside location deal good 
0,view room bad room daylight uncomfortable bed unpleasant staff excellent location good toilettrees 
1,bed 
0,breakfast thing every day change nothing good hotel 
1,kettle etc room close hospital 
1,friendly personal good room excellent location 
1,hotel lift temperamental sometimes three four lift working 
0,bar closed renovation requested late check approved told leave one tidy luxury room 
1,nice place perfect location traveled year old son room three comfortable considering difficult find room three four europe 
1,breakfast bit steep went weatherspoons room beautifully presented staff friendly helpful hotel ooze class decor bar area stylish cheap worth splashing 
0,bedroom pretty poor although bed comfortable position room street level great spoiled room however toilet shower room behind partially opaque glass partition reach ceiling never seen anything like breakfast good facility sister hotel close point departure store case much appreciated 
1,bath room would nice perfect location staff friendly would sort anything room great view ancient wall 
1,location far cc go hotel avoid taxi charge room tram stop 
1,room small bed comfortable staff friendly great location 
1,nothing hotel clean comfort location great extra bad nice 
0,room small lift access pain use room key hotel like maze would wheelchair friendly staff excellent maid seen going room service 
1,nothing particular location lovely garden nice staff price large easy free parking area 
1,dislike anything say quite expensive expected service stay utterly amazing staff lovely particular nico consierge definitely returning 
1,amazing location wonderful staff would stay 
1,small room bathroom shower low pressure location beautiful building friendly staff small balcony 
1,bed little small perfectly fine two people wall thin could hear toilet room u flushed overly loud light sleeper great breakfast delicious every staff member spoke friendly location hotel perfect visiting main attraction situated around london eye 
1,nothing really would nice bay window could opened usable balcony huge suite like room floor sealing window bay window see around street corner nice big bathroom dual bathroom sink comfortable king size bed near center tourist attraction still quite neighborhood 
1,nothing wonderful location close train attraction quiet street 
0,room great value money okay bed comfortable closet space bathroom bad design housekeeping service glass broke room desk manager offered give broom could sweep glass breakfast horrible whole gay hotel seems designed tasteless straight interior decorator thinking know gay men like could capture gay dollar gay man designed poor way around 
1,nothing fantastic location 
0,expensive location 
1,parcel left u concierge however sent u got home received apology called hotel staff fantastic family 
1,wonderful one night stay would definitely return perfect location brief visit 
1,great staff great hotel 
0,front desk know took u hour check room filthy bed falling apart stinky room ant fly al place spent first night terminating ant fly fire trap regard public health safety location 
1,parking garage 
0,bed 
1,nothing bad say lovely hotel view balcony fantastic staff helpful friendly location perfect better 
1,choice tea room unusual however certain would got plain black tea asked hotel cheap excellent area high quality comfortable quiet room quiet aircon important temperature outside fabulous shower 
1,even though could see window still taxi trip away warm cookie arrival great start staff extremely helpful beautifully decorated throughout lovely meal restaurant breakfast delicious beautifully presented plenty choice would definitely stay 
1,nice desing hotel 
1,location perfect u needed visit u embassy literally round corner oxford street also minute away perfect 
0,star hotel good enough luggage taken night taken room ready breakfast expensive fairly quiet despite room road groundfloor two possible tube station nearby 
1,summer season hot milano airconition room afoul asked fixing solve problem nothing spite said work well alot mosquito milano hotel breakfast poor boring every day location excellent area great near everything stuff amazing helpful metro station far walk hotel restaurant coffee shop bar market near hotel 
1,nothing location interior bed pillow breakfast 
1,great location value helpful staff overall excellent 
0,lound morning room small location good serivice 
0,room size standard locarion 
0,poached egg breakfast arrived cold like sitting ready brought loved entrance hotel straight victoria station 
0,room air con tempremental hairdryer didnt work cracking noise bathroom night waking u taxi stand rain wait one hotel ring one room cleaning staff knock enter room without waiting good even though room checkout extended last day still staff knocking entering clean room annoying breakfast choice typical helpful staff reception good range facility 
1,food location room 
0,terrible small sized bed good location 
1,didnt stay longer take early train loved room comfortable well designed 
1,breakfast included bathroom clean staff pleasant 
0,chair uncomfortable sit day 
1,location staff room quite 
1,bed comfortable easy access room excellent breakfast 
1,great location nice breakfast option staff really helpful skybar fun clean modern 
1,clean bed feel good 
1,bar area could really relax unwind mile comfortable space want chill location perfect staff excellent happy helpful room superb 
1,everything best experience hotel far 
1,wasent anything like room liked decor room nice spacious 
1,bed soft room small location good 
0,wanted snack bar area evening one sandwich two bottle beer bed brilliant good location 
1,good location staff friendly helpful room nice comfy pleasant 
1,access virgin gym amazing bonus fantastic facililites river view swimming pool hot bath exercise class amazing 
0,proper lighting bedroom broken makeup mirror reported fixed 
0,room little claustrophobic tea staff friendly desk work mobile world congress week barcelona full paid time normal price considerable extra money hotel could bit generous frill drink included breakfast would made u feel special without costing much style great 
1,loved superlative treatment staff park grand location excellent well quiet street short walk tube never opened front door stay since gentlement quick open door u wifi room excellent important u pleasantly surprised find several outlet charge various device european north american room clean like pictured location excellent since near earl court station tardis well starbucks couple pub good indian food close ruxi recommended excellent rooftop patio drink well loved hope come back soon since combination great staff location price suited u perfectly 
0,price bar food 
0,room small ridiculous sell room broom cupboard beyond location fair needing 
1,breakfast expensive hotel great location central everything room big comfortable nice bathroom would stay 
1,anniversary arrangement met agreed hour arrival breakfast incredibly tasty serving staff helpful room well laid superbly clean comfortable 
1,quiet location near shop restaurant victoria station away good transport link rail underground walk buckingham palace st james park 
1,hotel lobby gathering place keeping star hotel bar tender main lobby made star restaurant amazing loved stay stay staff excellent 
1,location 
0,found following issue compact double room bathroom shared mentioned room title hotel much clearer short sentence room description easy overlook also two photo four available room description related bathroom although room contains none staff clearly aware possible issue first thing reminded immediately charged price stay proposing also expensive upgrade room without shared bathroom bad smell room room window trafficked road one must choose fresh air silence sleep kitchnette microwave facility seem removed description room refrigerator tea coffee making facility kettle short electric cable could lay table floor ridiculous even working hopefully changed brand new one requested cutlery crockery present first received third day four whole stay still requested removed reappear fourth day hotel website toaster ironing facility hair dryer also supposed present room present either complimentary water bottle arrival supposed provided never heard free wifi weak instable room navigating web page really frustrating waiting time streaming anything audio video nearly impossible flat screen tv oriented toward ceiling exactly best good vision understand hotel part booking com preferred property programme 
1,excellent location service 
1,great bar 
0,thought terrace available room top floor suite think advert hotel reflect upgraded top floor terrace 
1,close train station shopping area 
1,room could done cupboard one wardrobe fine drawer good value paid great location staff friendly eat comment food 
1,front desk staff friendly helpful hotel clean 
0,resident bar open either evening return one evening arrived back earlier hotel specifically visit garden bar information regarding opening time would useful one room ready arrival requested early check informed key second room would brought u happen full itinerary tight schedule resulted part group checking great customer service cold drink arrival travelling welcome also tour hotel facility nice touch wonderful bathroom large bath excellent shower 
1,n room fabulous staff could better thank wonderful stay 
0,room good bed comfort hotel location 
0,hotel great place stay solo business young couple recommend property traveling young child location proximity metro station quieter area compared la ramblas pl garcia port olimpic still lively night 
1,air conditioning fickle changed quickly uncomfortably warm chilly even slight change made setting refurbishment tasteful welcoming soundproofing excellent staff try hard location brilliant u tourist 
0,surrounding area breakfast price exaggerated small swimming pool v description picture lobby strongly exaggerated perfume smell reception concierge personnel pro active helpful 
1,nothing nothing dislike 
1,friendliness staff nothing much trouble arrived early problem minute walk eurostar train terminal making conveneient 
1,nothing think good choice breakfast location bad take tram city center bus front take train station bed pillow perfect night rest 
1,perfect hotel 
1,top floor window opened onto wall basically view room also small breakfast cantine style basement breakfast option rather limited white bread fresh fruit orange juice machine great nice clean friendly staff great location 
0,circumstance book small single room room literally store cupboard short bed crammed corner tiny wet cell bathroom tallest person bed room far short even also move away wall little bit outside wall mostly wall drafty window actually result absolutely freezing even bed nudged away wall still woke raging headache draft window night part covered duvet cold damp house would also well stocking wd door hinge creak squeak whine rather loudly something room able avoid witnessing room adjacent door leading breakfast room reason someone kept going around onwards take genius work much sleep actually got room also stair definitely cute way like harry potter opposite hotel entrance hear coming going matter quiet minority people try footstep voice waking keeping squeaky door bathroom amazed outstanding water pressure hand held shower head unfortunately physical size actual shower quite cope mass water shooting shower head flooding bathroom even conscious try avoid consequently flooding bedroom make sure move everything little floor space around bed attempt shower location hotel relatively convenient looking somewhere put head hour night make sure either take earplug get blind drunk turning though 
1,na location perfect u every thing close restaurant 
0,great staff good value continental breakfast 
1,think anything comfortable bedroom good bathroom pleasant breakfast bar overlooking square price reasonable london pre theatre menu cote brasserie good value great location bus tube shopping yet crowded area 
1,n bed comfortable slept hotel london bathroom facility excellent 
1,could hear tram traffic late night early morning could also hear people tv room breakfast room public cafe cramped crowded noisy shower control lift security swipe card took work location good centrale railway station coach airport also good city centre mini bar contained water soft drink free replenished every day bed large room clean generally good security lift access 
1,side top floor amount stair climb lovely hotel excellent location booking visit next year 
0,toilet requires deep clean black stain bottom bowl red mould around rim toilet seat unacceptable visual impact guest tariff would suggest addressed via regular period maintenance room service wine glass clouded frequent washing however glass room mini bar clean cloudy view 
1,nothing everything great break away 
1,nice small hotel located close everything still busiest area 
1,hotel undergoing building work 
1,price food beer good expensive breakfast best needed expensive nice staff great em 
0,room smelt horrible big bed 
1,though room comfortable albeit quite small like opaque window made feel even smaller think breakfast could included price foyer beautiful floral display welcoming great friendly staff spotlessly clean comfortable everywhere pleasant stay 
1,helpfull staff central location close everything recommend 
0,room super tiny poeple location ok 
0,slipper would nice generous tea coffee decent size room 
1,location 
0,curtain shower shower bath spill everywhere toilet seat broken non working basin waiste great buffet breakfast 
1,breakfast included rate night told booking checking advised following morning dining room door advised price could believe amount checked extremely expensive unless eating breakfast main meal room rate recommend eating taxi easily available company used hotel expensive normal cab took much long arrive need book min min required room large comfortable staff helpful friendly facility excellent sky bar especially good location although little far purpose good tram easy get centre nice park opposite hotel walk fairly easy access airport via train station quick taxi 
0,poorly located shower room could hardly stand good location 
1,wonderfully comfortable bed friendly staff usually use pool spa facility loved 
1,great location great room great bed clean nice staff compliment particular person 
1,wifi really work excellent breakfast clean friendly staff 
0,view 
0,room could upgrade basic comfortable clean bed 
1,nothing room spacious decor great pillow really soft staff really friendly helpful proffessional arrived early couple recommended check got checked arrival without hesitation great 
0,short changed pound getting deposit back still response complaint month ago loved air conditioning gym pool 
1,beautiful hotel close tube wembley arena 
0,cor bit tired need lick paint comfy bed helpful staff 
1,lack onsite restaurant able offer tapa late night day walking around city kutchen clised room service either arrived late flight delayed nothing eat next morning well situated hotel close diagonal metro tranquillity bustling city exceptional staff paid every attention detail make stay barcelona extra memorable welcome champagne fabulous upgrade terrace suite sangria room arrival friandises afternoon tea gift list go tranquillity rooftop terrace serving fabulous mojitos overlooking one barcelona famous site 
1,room advertised bath shower booking asked would possible room river view apparently one even read request 
0,long queue check check even worse small monitor mac plus tv bedroom small hand held device changing channel impractical bedroom comfortable 
0,room small furnture old 
1,location main plus point room clean tidy 
1,pricey business lounge 
0,mold around inside window big problem rest room clean could use sealing great location clean basic stay night gentleman bar pleasent helpful 
1,good location good breakfast buffet 
0,bed pillow could comfortable softer staff lovely helpful 
1,room ready arrival patio actually window guard rail housekeeping forgot room one day modern feel nice shower reasonable room size paris c 
1,good location close everything walking distance hyde park concert going quiet street hotel enjoyed night stay 
1,reception staff professional could helpful lovely breakfast plenty choice seated window lovely view thames staff helpful 
1,view clean nice good position 
1,none nice location clean modern room freindly staff good breakfast 
0,staff specially manager lack profession communicating guest even lady operator rude location 
0,area around gare du nord among pleasant paris drunk homeless always bit dodgy night basically need near gare du nord decent cheap otherwise go somewhere else 
0,bedsheets changed entire stay mini bar restocked food cold restaurant upon checkout charged card dinner restaurant despite u paying cash night explained told pay would fix got refund end honeymoon feel like needed added stress bed comfy 
1,love hotel great location friendly staff beautiful cute breakfast room view tree boulevard 
1,stayed time found room allocated good previous visit loud music could heard would recommend room higher level excellent location friendly staff 
1,bit unsure problem pet hotel however everything went prefect nice hotel nice staff 
0,staff rude arrogant unhelpful including management 
0,room facility like hanger coat chance breath fresh air worthwhile breakfast cleaning room proper time one go 
1,friendly helpful staff great location 
1,heating work properly room temperature rather low complained unfortunately fixed good location clean modern hotel 
1,everything great even soap bathroom smelled great family room spacious clean great water pressure delicious breakfast great location 
1,staff knowledge tourist fair 
1,nothing outstanding service particularly mr phillipp voight rest concierge staff private day tour sakzburg priceless surprise chocolate treat added experience ritz 
0,tired city centre hotel take client granted location ideal tourist using public transit system 
1,bathroom could update particular shower needed regrouting grout gone black location hotel 
0,room small air position 
0,cracked sink leaky tap room need bit maintinence location 
1,room door balcony little bit cold tried use ac took long time heat room amazing breakfast great variety food location city center friendly staff nice welcome gift comfortable bed well equiped bathroom nesessary thing like shampoo soap fantastic view balcony floor 
1,friendlyand helpful staff 
1,facility clearly getting old older look photo good location spacious comfortable room 
0,disgusted cleanliness taken photo arriving room noticed sticky stain around kitchen area glass covered much window filthy looked though cleaned ketchup told reptionist sent somebody clean room waited bar glass replaced nothing back room decided leave complain morning partner made cup tea getting settled bed disgust milk stale curdled decided back complain room still filthy tea room service brough tea charged disgusted completely utterly disgusted night would never recommend stay breakfast room service lovely 
1,nothing great experience excellent location central everything wanted see friendly staff helpful gave great advice 
1,small lobby although hotel clean comfortable surroundings outside quite seedy looking proximity major point interest especially la ramblas transportation stop made shortcoming 
1,room could little larger room small comfortable clean 
1,nice hotel room bit outdated rooftop terrace amazing 
1,friendly staff good location walking distance center great area shopping 
1,toothpaste supplied incase people forget bring apart great experience everything great 
1,loved close palace wonderful surprise close train station lot shop place eat right taxi main shopping street euro also walk enjoy walking give chance find beautiful historic building loved stay 
1,nice butiqe type good design nice location rather tiny room 
0,dated penny spent maintenance recent year good location 
1,none friendly helpful staff good location tram line city centre outside front door comfortable room breakfast excellent 
1,room bathroom small great location work well traveling heathrow 
1,cup coffee five euro everyone super helpful property accomodating 
1,heat room tried put temperature low still felt hot window open safety reason tv signal room poor wifi stayed fourth floor 
1,executive lounge worth upgrade poor white wine spirit windowless room paid drink actual bar room felt like prison kind regard anne hotel breakfast great 
1,beautiful small hotel great staff 
1,room look view thanks lot 
1,fantastic location perfect town anything parc exposition easy walk ch telet le halle station direct train ground staff friendly helpful great area travelling alone tired venture far day ton restaurant choose like staying arr best location stayed 
0,room small couple cupboard small rail needed step ladder get small bath shower bed side wall close tube bus train hyde park within walking distance cafe pub shop 
1,great hotel modern hip design easy get city centre tram front hotel big comfortable bed great room medium system 
1,access wi fi complicated excellent swimming pool 
1,feel queue breakfast sunday morning price paid indicate possibility waiting seated eat waited minute quite inconvenient room sky lounge cool 
1,bed soooo comfy best bed ever slept friend agreed 
1,price breakfast lovely room quiet 
1,really loved different size cushion first brilliant night sleep outside bedroom year husband loved shaving mirror ordered one return 
1,excellent location clean room friendly staff 
1,information staff good lockation nice breakfast 
0,ac dont work hotel stayed day ac never worked complained upgraded room problem suffercating 
1,size room lack light breakfast terrace 
1,noisy drainage could heard throughout night room woke u night several time expect hotel quality cost location roof terrace lobby bar 
1,pricey view hotel interesting minute walking distance city centre 
