Reviewer_Score,Review,Origin
1,room could better breakfast great shame room bed broken baby cot looked like cigarette burn quite disappointed price , The room could have been better Breakfast was great shame about the room Bed was broken and baby cot looked like it had cigarette burns in it quite disappointed for the price 
1,live music bar , The live music in the bar
1,pre booked twin room unavailable forced take double bed camp bed pay extra per night rheumatoid arthritis daughter heavily pregnant furious good breakfast heated towel rail lounge bar good ambience , Pre booked twin room was unavailable We were forced to take double bed with camp bed AND pay extra 40 per night I have rheumatoid arthritis and my daughter was heavily pregnant I was furious  Good breakfast heated towel rails lounge bar has good ambience 
1,manage change one big bed room sleeping together time someone fell bed everything perfect check find pair lady shoe bag , We couldn t manage change into a one big bed room and sleeping together all the time someone fell in between the beds  Everything was perfect but after check out we can t find a pair of ladies shoes in our bag 
1,open window room ac great great location helpful staff , Couldn t open windows in room only AC not great Great location very helpful staff
1,room maid service adequate location , Room maid service was not adequate Location
1,comfortable room excellent location visit daughter , Very comfortable room in excellent location for visit to our daughter
1,noise night construction opening window stuffy room excellent location friendly staff , Noise at night with construction until 11pm No opening window very stuffy in the room  Excellent location and friendly staff 
1,bed comfortable staff friendly helpful , The bed was very comfortable the staff friendly and helpful
1,everything good staff helpful friendly time staying came back cost location facility , Everything was good Staff were very helpful and friendly It was my 2nd time staying and I came back for the cost and location and facilities
1,realise quite trek bed massive comfy , Didn t realise it was quite a trek to the o2 The bed was massive and very comfy 
1,cramped breakfast area small bathroom free upgrade arrival friendly staff , Cramped breakfast area small bathroom  Free upgrade on arrival Friendly staff 
1,great bar team concierge , Great bar team and concierge
1,location little way wasnt keen surrounding area clean comfortable , Location it was a little out the way Wasnt too keen about surrounding area  Clean comfortable 
1,nothing clean comfortable modern furnishing spacious , Nothing Very clean and comfortable Modern furnishings and spacious 
1,woken saturday morning ask would checking check time disturbed see still room mentioned checkout told used disturb switch room think happens check app whenever like know still hotel comfy bed , We were woken at 8 30am on a Saturday morning to ask when we would be checking out check out time was 11am We were then disturbed again at 9 30am to see if we were still in the room When we mentioned this at checkout we were told we should have used the Do Not Disturb switch in the room I think this happens because you can check out by app whenever you like so they do not know who is still in the hotel  Comfy bed
1,roof leaked bed almost whole night staff brought people fix next morning one nice receptionist immediately helped changing room also breakfast guest need go another chain hotel convenient location , the roof leaked just by the bed for almost the whole night but staff brought in people to fix it the next morning and one nice receptionist immediately helped with changing the room also for the breakfast guests need to go to another of their chain hotel which was not very convenient  location
1,comfortable bed excellent breakfast , Very comfortable beds excellent breakfast
1,wall thin could hear people next u noisy whenever bed head board shook well telephone working reported reception also requested bottle water nobody turned bed comfortable could control heating quiet shower lovely , The walls were very thin and could hear the people next to us who were very very noisy and whenever they were on their beds our head board shook as well the telephone was not working I reported this to reception and also requested a bottle of water Nobody turned up Bed was very comfortable and we could control the heating which was very quiet The shower was lovely
1,comfortable chair room balcony rail low making balcony limited need looking bed comfortable superb location nice interior hotel , No comfortable chair in room Balcony rail was very low making balcony very limited This needs looking at  Bed very comfortable Superb location Very nice interior of hotel 
1,room lovely view amazing , The room is lovely and view was amazing
1,nothing perfect best hilton club lounge ever , Nothing it was perfect The best Hilton Club Lounge I have ever been in 
1,nothing breakfast outstanding , Nothing The breakfast was outstanding
1,gym closed service like laundry breakfast overly expensive send breakfast back location cleaniness room comfort , Gym was closed services like laundry and breakfast overly expensive had to send breakfast back Location cleaniness room comfort
1,small twin room shower still good value money one night good location lovely view onto park good bed , Very small twin room and shower but still good value for money and for one night  Good location lovely view onto park good beds 
1,american tv channel breakfast buffet excellent free wifi room bath tub safe refrigerator robe slipper , No American tv channels Breakfast buffet excellent Free wifi room had a bath tub safe refrigerator robes and slippers 
1,awesome concept really enjoyed much definitely keep going citizenm , Awesome concept Really enjoyed it so much I definitely will keep going to CitizenM
1,got requested room upgraded junior suite , We got what we requested for the room And we were upgraded to a junior suite 
1,apart excellent location always try stay hotel excellent service always provides , Apart from the excellent location we always try to stay in this hotel for the excellent service it always provides 
1,change sheet night stay tidy room changed towel location far airport majour tourist spot nearest metro min walk interior design nice min walk nice beach loved shower close diagonal mal small super market , They didn t change the sheets in our 4 night stay just tidy the room and changed the towels Location is far from Airport and Majour tourist spot the nearest metro is in 10 min walk  Interior design was very nice 10 15 min walk to a nice beach loved the shower close to Diagonal Mal and some small super market 
1,received unexpected room upgrade perfect location heading bed extremely comfortable decent buffet breakfast aswell , Received an unexpected room upgrade Perfect location as we were heading to the 02 and the bed was extremely comfortable Decent buffet breakfast aswell 
1,staff made stay extra special friendly especially theodhora lovely greek lady served u breakfast , The staff made our stay extra special They were so friendly Especially Theodhora a lovely Greek lady who served us at breakfast 
1,fabulous , just fabulous 
1,everything ok big surprise breakfast better expected although coffee great , Everything was ok no big surprises The breakfast was better than expected although coffee there not that great 
1,breakfast awesome location close garibaldi station , Breakfast was awesome and location is very close to the garibaldi station 
